ID,Name,Owner,Controler,Religion,Culture
1,Stockholm,SWE,SWE,protestant,swedish
2,Östergötland,SWE,SWE,protestant,swedish
3,Kalmar,SWE,SWE,protestant,swedish
4,Bergslagen,SWE,SWE,protestant,swedish
5,Värmland,SWE,SWE,protestant,swedish
6,Lund,DAN,DAN,protestant,danish
7,Skaraborg,SWE,SWE,protestant,swedish
8,Dalaskogen,SWE,SWE,protestant,swedish
9,Hälsingland,SWE,SWE,protestant,swedish
10,Jämtland,SWE,SWE,protestant,norwegian
11,Västerbotten,SWE,SWE,catholic,swedish
12,Sjælland,DAN,DAN,protestant,danish
13,Slesvig,DAN,DAN,protestant,danish
14,Fyn,DAN,DAN,protestant,danish
15,Vestjylland,DAN,DAN,protestant,danish
16,Bohuslän,SWE,SWE,protestant,norwegian
17,Akershus,DAN,DAN,protestant,norwegian
18,Lappland,SWE,SWE,protestant,sapmi
19,Österbotten,SWE,SWE,catholic,finnish
20,Trøndelag,DAN,DAN,protestant,norwegian
21,Hålogaland,DAN,DAN,protestant,norwegian
22,Opplanda,SWE,SWE,protestant,norwegian
23,Bergenhus,DAN,DAN,protestant,norwegian
24,Stavanger,DAN,DAN,protestant,norwegian
25,Gotland,DAN,DAN,protestant,swedish
26,Halland,DAN,DAN,protestant,danish
27,Åbo,SWE,SWE,catholic,swedish
28,Nyland,SWE,SWE,catholic,finnish
29,Tavastland,SWE,SWE,catholic,finnish
30,Viborg,SWE,SWE,catholic,finnish
31,Savolax,SWE,SWE,catholic,finnish
32,Kexholm,NOV,NOV,orthodox,karelian
33,Neva,SWE,SWE,orthodox,karelian
34,Ingermanland,TEU,TEU,catholic,novgorodian
35,Ösel,TEU,TEU,catholic,estonian
36,Reval,TEU,TEU,catholic,estonian
37,Livland,TEU,TEU,catholic,latvian
38,Riga,TEU,TEU,catholic,baltic_german
39,Goldingen,TEU,TEU,catholic,latvian
40,Memel,TEU,TEU,catholic,lithuanian
41,Königsberg,TEU,TEU,catholic,prussian
42,Warmia,TEU,TEU,catholic,prussian
43,Danzig,TEU,TEU,catholic,prussian
44,Hamburg,HAM,HAM,protestant,lower_saxon
45,Lübeck,HSA,HSA,protestant,lower_saxon
46,Rostock,HSA,HSA,protestant,pommeranian
47,Stralsund,BRA,BRA,reformed,pommeranian
48,Kolberg,BRA,BRA,reformed,pommeranian
49,Neumark,TEU,TEU,catholic,saxon
50,Berlin,SAX,SAX,reformed,saxon
51,Ruppin,SAX,SAX,reformed,saxon
52,Magdeburg,SAX,SAX,protestant,saxon
53,Lüneburg,HSA,HSA,protestant,lower_saxon
54,Stade,HSA,HSA,protestant,lower_saxon
55,Oldenburg,HSA,HSA,protestant,hannoverian
56,Osnabrück,EFR,EFR,protestant,hannoverian
57,Brunswick,SAX,SAX,protestant,lower_saxon
58,Anhalt,SAX,SAX,reformed,saxon
59,Wittenberg,SAX,SAX,reformed,saxon
60,Bautzen,SAX,SAX,reformed,sorbian
61,Dresden,SAX,SAX,protestant,saxon
62,Leipzig,SAX,SAX,protestant,saxon
63,Erfurt,SAX,SAX,protestant,saxon
64,Landshut,LBV,LBV,reformed,bavarian
65,München,UBV,REB,protestant,bavarian
66,Bamberg,WBG,WBG,protestant,franconian
67,Nürnberg,NUM,NUM,reformed,franconian
68,Memmingen,MEM,MEM,reformed,swabian
69,Dortmund,NED,NED,protestant,hannoverian
70,Stuttgart,WUR,WUR,reformed,swabian
71,Ansbach,ANS,ANS,protestant,franconian
72,Breisgau,HAB,HAB,catholic,swabian
73,Inntal,HAB,HAB,catholic,austrian
74,Baden,BAD,BAD,protestant,swabian
75,Straßburg,BAD,BAD,protestant,swabian
76,Salzburg,SLZ,SLZ,catholic,bavarian
77,Heidelberg,PAL,PAL,protestant,hessian
78,Mainz,MAI,MAI,catholic,hessian
79,Würzburg,WBG,WBG,reformed,franconian
80,Trier,MAI,MAI,catholic,hessian
81,Oberhessen,HES,HES,reformed,hessian
82,Westfalen,KOL,KOL,reformed,hannoverian
83,Nassau,MAI,MAI,catholic,hessian
84,Berg,BRG,BRG,protestant,hessian
85,Köln,KOL,KOL,reformed,hessian
86,Münster,NED,NED,protestant,hannoverian
87,Calais,NED,NED,protestant,wallonian
88,Artois,NED,NED,protestant,wallonian
89,Picardie,NED,NED,protestant,cosmopolitan_french
90,Bruges,NED,NED,protestant,flemish
91,Hainaut,NED,NED,protestant,wallonian
92,Brussels,NED,NED,protestant,flemish
93,Liège,LIE,LIE,protestant,wallonian
94,Luxemburg,NED,NED,protestant,wallonian
95,Breda,NED,NED,protestant,dutch
96,Zeeland,NED,NED,protestant,dutch
97,Amsterdam,NED,NED,protestant,dutch
98,Utrecht,NED,NED,protestant,dutch
99,Gelre,NED,NED,protestant,dutch
100,Friesland,NED,NED,protestant,frisian
101,Genoa,ITA,ITA,catholic,ligurian
102,Nice,ITA,ITA,catholic,ligurian
103,Turin,ITA,ITA,catholic,piedmontese
104,Milan,ITA,ITA,catholic,lombard
