ID,Name,Owner,Controler,Religion,Culture
1,Stockholm,PLC,PLC,catholic,swedish
2,Östergötland,PLC,PLC,catholic,swedish
3,Kalmar,PLC,PLC,catholic,swedish
4,Bergslagen,PLC,PLC,catholic,swedish
5,Värmland,PLC,PLC,catholic,swedish
6,Lund,PLC,PLC,catholic,swedish
7,Skaraborg,PLC,PLC,catholic,swedish
8,Dalaskogen,FRA,FRA,protestant,swedish
9,Hälsingland,PLC,PLC,catholic,swedish
10,Jämtland,FRA,FRA,protestant,norwegian
11,Västerbotten,PLC,PLC,catholic,swedish
12,Sjælland,GER,GER,protestant,danish
13,Slesvig,FRA,FRA,protestant,danish
14,Fyn,GER,GER,protestant,danish
15,Vestjylland,FRA,FRA,protestant,danish
16,Bohuslän,NOR,NOR,protestant,norwegian
17,Akershus,FRA,FRA,protestant,norwegian
18,Lappland,PLC,PLC,catholic,sapmi
19,Österbotten,PLC,PLC,catholic,polish
20,Trøndelag,FRA,FRA,protestant,norwegian
21,Hålogaland,FRA,FRA,protestant,norwegian
22,Opplanda,FRA,FRA,protestant,norwegian
23,Bergenhus,FRA,FRA,protestant,norwegian
24,Stavanger,FRA,FRA,protestant,norwegian
25,Gotland,PLC,PLC,catholic,prussian
26,Halland,PLC,PLC,catholic,swedish
27,Åbo,PLC,PLC,catholic,swedish
28,Nyland,PLC,PLC,catholic,polish
29,Tavastland,PLC,PLC,catholic,polish
30,Viborg,PLC,PLC,catholic,novgorodian
31,Savolax,PLC,PLC,catholic,polish
32,Kexholm,PLC,PLC,catholic,novgorodian
33,Neva,PLC,PLC,catholic,novgorodian
34,Ingermanland,PLC,PLC,catholic,novgorodian
35,Ösel,PLC,PLC,catholic,estonian
36,Reval,PLC,PLC,catholic,estonian
37,Livland,PLC,PLC,catholic,latvian
38,Riga,PLC,PLC,catholic,polish
39,Goldingen,PLC,PLC,catholic,lithuanian
40,Memel,PLC,PLC,catholic,lithuanian
41,Königsberg,PLC,PLC,catholic,prussian
42,Warmia,PLC,PLC,catholic,prussian
43,Danzig,PLC,PLC,catholic,prussian
44,Hamburg,GER,GER,protestant,lower_saxon
45,Lübeck,GER,GER,protestant,lower_saxon
46,Rostock,GER,GER,protestant,pommeranian
47,Stralsund,PLC,PLC,catholic,polish
48,Kolberg,PLC,PLC,catholic,polish
